うわっ？　騒がしいと思ったらみんな来てる……,アンタたち揃いも揃って何やってるのよ？　……門の前で立ち話もアレでしょうし、中に入ったらどう？
えっ？　宴会！？　どういうことですか！？,異変解決を祝しての単なる祝勝会よ。　ところでアンタ、酒はイケる口なの？
ちょっと本気出す,やめなさい
ちょっと本気出す,やめなさい
ちょっと本気出す,やめなさい
ちょっと本気出す,やめなさい
やってくれるかしら？　クリームヒルト・グレートヒェンさん？,霊夢さん、知ってます？　最近巷で話題になってるあの事件……
霊夢さん、知ってます？　最近巷で話題になってるあの事件……,“魔女騒動”ね……当然把握してるわ。私をなんだと思ってるの？　腐っても幻想郷の秩序を保つ博麗の巫女よ
自分で腐ってもとか言わないで下さい。　……で、霊夢さんはどう思います？,どう思う？　って聞かれてもねぇ……
それにしたって急すぎです！　びっくりして寿命が縮まるかと思いましたよ！,諦めなさい早苗、コイツはそーいうヤツよ
諦めなさい早苗、コイツはそーいうヤツよ,ん～、相変わらず手厳しいですね～
ん～、相変わらず手厳しいですね～,そんな事より……、調べてきたんでしょ？　幻想郷の“魔女”連中は何て？
そんな事より……、調べてきたんでしょ？　幻想郷の“魔女”連中は何て？,……はい、皆さん揃って否認してます
……っ,…………
同じく魔法の森在住、霧雨魔理沙さん……以上、四名です,事件発生以降、多くの人がこの四人に接触を図っていますが、今の所四人に大きな動きはありません
基本的にそれぞれの家に篭って、一人で居るようです,つまり、アリバイはない、って事ね……
う～ん、又聞きだけだと何とも言えないんですよねぇ……,そうね、直接本人に話を聞くぐらいはしてみようかと思ってるわ。　場合によってはその場で張っ倒すけど……
それはいくらなんでも短絡的過ぎますよ,あら？　じゃあアンタはやらないの？
う～ん………………、やるかも…………しれないです,アンタってヤツは……、まあ良いわ、私はとりあえず魔理沙の所に行くから、早苗と文はアリスか命蓮寺にでも行きなさい
あれ？　霊夢さん、紅魔館は行かなくて良いんですか？,そっちは大丈夫よ。　専門の犬（人材）が既に居るわ
そんなの、決まってるじゃない…………“魔女”に会いに行くのよ,部屋に篭ってる、と聞いて来てみれば……何やってるのよ？
部屋に篭ってる、と聞いて来てみれば……何やってるのよ？,見て分からないか？　地図でこれまでの事件現場を探してるんだ
見て分からないか？　地図でこれまでの事件現場を探してるんだ,アンタにしては随分と消極的じゃない、いつもならそんな事しないで現場に飛んでいくくせに……
流石に今回は容疑者だからな。下手に動いて御用になるのはゴメンだぜ。　それに……,それに？
今回ばかりは早く解決したいと思ってる。　この“魔女”がやってる事は、私たち“魔法使い”への明らかな挑戦だぜ？,……………
早苗の時の異変と同じさ、売られた喧嘩は買わなきゃなんねぇ、　　　そうじゃなきゃ“魔法使い”として、私が、私を許せなくなる,……協力はするけど、今回は裏方に回るわよ？
ああ、それでいいぜ、魔女が異変を起こすって言うなら、私はその魔女をぶっ飛ばす！,まぁ、アンタがそれで良いなら、別に構わないけど……、で？　目星はつきそうなの？
まぁ、アンタがそれで良いなら、別に構わないけど……、で？　目星はつきそうなの？,あー、それなんだがな、実は……
あー、それなんだがな、実は……,さっぱり分からん！
さっぱり分からん！,……………………………アンタねぇ
……………………………アンタねぇ,だって見てみろよこの地図、どっかに固まってるわけでもない、事件の内容もバラバラ、発生日時も同じくだ。　　　　これでどうやって特定しろって言うんだよ
だって見てみろよこの地図、どっかに固まってるわけでもない、事件の内容もバラバラ、発生日時も同じくだ。　　　　これでどうやって特定しろって言うんだよ,やってたのはアンタでしょ……
事件の内容で同じモノがあるって事は同一犯に違いないと思ったんだけどなぁ……,……ねぇ、魔理沙、私思ったんだけど、複数犯って事は考えられない？
何？,つまり、特定の妖怪一人による事件じゃなくて、事件の種類ごとに担当者が居る、集団犯罪だったとしたら？
それで？　仮に集団犯行だとしたらその奴らの目的は何なんだ？,それがちょっと読めないのよねぇ……やっている事は、人に軽い呪をかけるだけ、それも印さえ消せば消える軽度なもの。　　妖怪の仕業だとしたら遊びにもならない軽度な呪……単なる愉快犯か、或いは……
或いは……なんなんだよ？,いえ、忘れて頂戴、ちょっと引っかかっただけだから……
なんだよ？　気になるな……,だから、忘れてって言ってるでしょ？　それよりも行くわよ、魔理沙
だから、忘れてって言ってるでしょ？　それよりも行くわよ、魔理沙,おい、霊夢！　行くって、どこに行くんだよ？
おい、霊夢！　行くって、どこに行くんだよ？,決まってるじゃない、現場よ
………………,おい霊夢、どうしてこんな辺鄙な所に来たんだ？　ここは事件現場じゃないぞ
おい霊夢、どうしてこんな辺鄙な所に来たんだ？　ここは事件現場じゃないぞ,……事件の一つに畑荒らし、と言うか薔薇植え事件があったじゃない
ああ、あったな,気付いた？　荒らされた、若しくは荒らされかけた畑は、全部花畑だ、って事
！？　……言われてみれば確かにそうだな,なるほどな、要約合点がいったぜ。確かに此処は幻想郷の花畑で未だに狙われていない場所だ
でもよ霊夢、此処はいくらなんでも人通りが少なすぎるぜ。　　　　人を狙うのに、幻想郷界隈の事情を知ってるヤツなら、まず此処には来ないと思うぜ,それを含めて、確認に来たのよ
？　どういう意味…………おい、霊夢、あそこに誰か居るぜ,人……じゃあないわね
蝶の翅っぽいのが付いてるしな。　珍しいタイプの妖精かもな,そうである事を願いたいわね
そうである事を願いたいわね,そこのアンタ、ちょっと聞きたい事があるんだけど……
そこのアンタ、ちょっと聞きたい事があるんだけど……,何かしら？
っ！？,やっぱり、アンタが“魔女”ね
私は不信の象徴にして薔薇園の魔女、ゲルトルート。　　ねぇ貴女たち、私の素敵な薔薇園造り、手伝ってくれないかしら？,生憎、食べられない植物に興味はないわ、他をあたりなさい
残念だわ、薔薇はこんなにも綺麗なのに……,奇麗かもしれんが、元々生えてた植物と植え替えるのは感心しないぜ
奇麗かもしれんが、元々生えてた植物と植え替えるのは感心しないぜ,菜種農家と、幽香の所に突き出させてもらうわよ
こいつの相手は私がやる。　霊夢は下がってな！,最初からそのつもりよ、裏方に回るって言ったでしょ？　その代わり……
？,負けたら承知しないわよ
負けたら承知しないわよ,ああ、負けたらいくらでも賽銭払ってやるよ。　　　さぁて、魅せて貰おうじゃねぇか、“魔女”のお手並み拝見だぜ！
電波塔……、これが……,それで、ここがどうかしたのですか？　ここは事件現場ではないと聞いていますが？
おい霊夢、なんで冥界なんかに向かってるんだ？,端的に言えば勘よ。いくつか根拠もあるけどね……
ほう？どんなだ？,今回の事件は幻想郷の各地で起きてるわ。　　　紅魔館や迷いの竹林みたいに滅多に里の人が行かないような場所でもね……　　　でもある方角だけ、事件とは無縁の場所があったのよ
今回の事件は幻想郷の各地で起きてるわ。　　　紅魔館や迷いの竹林みたいに滅多に里の人が行かないような場所でもね……　　　でもある方角だけ、事件とは無縁の場所があったのよ,中有の道に三途の川、再思の道、無縁塚……、なるほど、冥界方面か……
中有の道に三途の川、再思の道、無縁塚……、なるほど、冥界方面か……,そうよ。それでピンと来たの。　アイツらの根拠地若しくは匿っている人物が冥界に居るんじゃないか、って……
そうよ。それでピンと来たの。　アイツらの根拠地若しくは匿っている人物が冥界に居るんじゃないか、って……,確かに。　自宅の前で盗みなんか働いた日には即バレるだろうな
確かに。　自宅の前で盗みなんか働いた日には即バレるだろうな,そして、冥界が怪しいとなると、いかにもこういう事が好きそうな人物が一人居るのよ
西行寺幽々子、白玉楼の主か……,しかし、幽々子が犯人ならそろそろ妖夢のヤツが出てきても良い気がするんだが……
しかし、幽々子が犯人ならそろそろ妖夢のヤツが出てきても良い気がするんだが……,多分、妖夢は出てこないわ。　　　幽々子は間違いなく関わっているでしょうけど、今回の異変は対外的にはあくまで“魔女”が主体となって行っている事にしたい筈よ。　　　白玉楼として表立った動きは見せないと思うわ
私は影の魔女、エルザマリア……。　時にお二方は救いを求めてはいませんか？,アンタの言う救いがなんなのかは知らないけど、この異変を終わらせる手伝いなら今すぐ欲しいわ
夕飯までには全部片付けときたいのよねぇ……,ならば私と共に祈りましょう、そして救済が訪れるのを待つのです
あいにくだが、待つのは私の性分じゃねーんだ。　他のヤツを誘いな,天は自らを助くる者を助く、救済は待つものじゃなくて掴む物よ。　　　それにお祈りをするなら賽銭奮発して10秒祈ったほうがよっぽど御利益があるわ
天は自らを助くる者を助く、救済は待つものじゃなくて掴む物よ。　　　それにお祈りをするなら賽銭奮発して10秒祈ったほうがよっぽど御利益があるわ,賽銭の強要もそこそこにしとけよ？　相手は新参なんだからな
賽銭の強要もそこそこにしとけよ？　相手は新参なんだからな,失礼ね。一度たりとも強要なんかしてないわ。　あくまで相手の自由意志を尊重してるわよ
そろそろよろしいでしょうか？,いつでも良いわ、というかさっさと終わらせたいから早くやっちゃってくれない？
そんなに早く終わりにしたいのですか？　なら、私の影の世界に入ってしまえば楽ですよ？,ちょっと、明るくなっただけで弾幕じゃないじゃない。何考えてるのよ
慌てないで下さい、これは言うなれば準備です。それでは、行きますよ？,っ！？
っ！？,どうですか？　自分自身の影に攻撃される気分と言うのは
どうですか？　自分自身の影に攻撃される気分と言うのは,背後から撃たれて気分が良い訳ないでしょ！
背後から撃たれて気分が良い訳ないでしょ！,まったく危なげない回避……。　流石、と言っておきましょうか。　　　　　　　ですが、後ばかり気にしていてはダメですよ？
まったく危なげない回避……。　流石、と言っておきましょうか。　　　　　　　ですが、後ばかり気にしていてはダメですよ？,ちょっとアンタ！　スペル２つを多重発動とか何考えてるのよ！
ちょっとアンタ！　スペル２つを多重発動とか何考えてるのよ！,多重発動ではなく上位互換です。　　　　　　　先ほどのスペルは貴女の影を操るスペル、このスペルはこの場に存在する影全てを操るスペル、まったくの別物です
多重発動ではなく上位互換です。　　　　　　　先ほどのスペルは貴女の影を操るスペル、このスペルはこの場に存在する影全てを操るスペル、まったくの別物です,～～～～っ！！　今に見てなさい、この御礼はきっちり返させてもらうわよ！
霊夢、それは悪役の台詞だぜ！,使い魔ってことはあの影も妖怪なんでしょ？　それなら……
使い魔ってことはあの影も妖怪なんでしょ？　それなら……,ひいふうみぃ…………、八体はやったわね
ひいふうみぃ…………、八体はやったわね,使い魔では貴女に対しては分が悪いようですね。作戦変更が必要かしら？
使い魔では貴女に対しては分が悪いようですね。作戦変更が必要かしら？,必要だと思うわ。　他力本願な相手に負けるほど私は甘くないもの
影の中に入ったら弾が見えない、ってか、厄介な事してくれるぜ,そう？　簡単な話じゃない、アイツの影に入らなければ良いのよ
そうは言うがな、アイツの影の向きがしょっちゅう変わるから、意外と厄介だぜ？,燈が強くなってから、影が濃くなるまで若干だけど時間があるわ、その隙に移動するのよ
これで明るい所は殆どありません。　さてどうなさりますの？　紅白の巫女さん,………………
………………,おいおい、何考えてるんだよ霊夢！　弾幕が来るぞ！
おいおい、何考えてるんだよ霊夢！　弾幕が来るぞ！,霊夢のヤツ、一体何がしたかったんだ…………ん？
霊夢のヤツ、一体何がしたかったんだ…………ん？,どうなってるんだ？　……まさか！？
良くあんなのが見分けられたな、あんなの目を慣らさなきゃ分からんぞ…………ああ、そういう事か,本当に鋭い方ですね。　仕方ありません、次に参りましょう
本当に鋭い方ですね。　仕方ありません、次に参りましょう,無駄ですよ、巫女さん
無駄ですよ、巫女さん,くっ……
いい加減諦めたら如何です？　貴女の周囲は最早影ばかり、影を操る私の世界に取り込まれてしまったと言っても良いのです　　　　　　　そのまま影に飲まれてしまえば今すぐ楽になれますよ,そんな偽りの救済はいらないわ、それが救いなのかどうか決めるのは私よ
そんな偽りの救済はいらないわ、それが救いなのかどうか決めるのは私よ,……！
……！,あー、何で今まで気付かなかったのかしら……こうすれば最初から一発だったじゃない……
？　なにをなさるつもりです？,こうするのよ！
こうするのよ！,無駄です！　私に向かう攻撃は全て影が……
無駄です！　私に向かう攻撃は全て影が……,誰がアンタを狙うって言った？
なっ！？,“影”があるのはソレを照らす“光”があるからこそ、“闇”の中では影の作りようがないのよ。　　　アンタが操っていた影は全部闇に消えたわ。　今のアンタには使い魔も盾もない
なっ！？　なんと言うことを……でもこうなってしまえば貴女たちもなにも見えな……,あら、アンタが祈ってばっかで同じ場所から動いてないのは分かってるのよ。それに……
あら、アンタが祈ってばっかで同じ場所から動いてないのは分かってるのよ。それに……,他人は影に取り込む癖に自分は常に光の方を向いてるとか、アンタ、自己矛盾の極みなのよ。　　　真の救済を望むのなら、アンタ自身がしっかり影の中も見て、陰陽あわせて見通してからにしなさい
夢想封印じゃなくて陰陽玉で殴ってケリとか随分とケチなシメ方だったな,仕方ないでしょ、夢想封印の光で影が出来たら意味ないし、勝てばいいのよ、勝てば……
やっぱりそれは悪役の台詞だぜ,あらあら、倒した相手をそのまま放置なんて、随分と酷い事をするのね……
残念だけど今回の件での私は単なる脇役なの。貴女たちの相手は別よ,とか何とか言って、焚きつけたのはアンタでしょ？　外から来たばかりの連中に計画できる事件じゃないわ
…………おい霊夢、どうする？,怪しいって言えば怪しいんだけど……、その割りに幽々子にやる気がまったく感じられないのよね……　　　っていうかアンタたち魔法使いの問題なんだから私に聞かないで自分で決めなさいよ
怪しいって言えば怪しいんだけど……、その割りに幽々子にやる気がまったく感じられないのよね……　　　っていうかアンタたち魔法使いの問題なんだから私に聞かないで自分で決めなさいよ,～～～っ！　ああ、もうっ！　一度買った喧嘩だ！　最後まで付き合ってやるよ！
博麗の巫女……、じゃあこの人が？,ええ、私が結界の管理と幻想郷の秩序を保っている素敵な巫女、博麗霊夢よ。　……アンタが“魔女”の元締めね？
こりゃまたご丁寧な挨拶だな。霧雨魔理沙、普通の魔法使いだ,で、早速聞きたいんだけど、こんな丁寧な挨拶が出来る貴女がなぜあんな事件を計画したの？　　　愉快犯や単なる悪戯心ではないんでしょ？
私たちはみんなで相談して、“魔女”と言う妖怪として幻想郷に加わるつもりだったんだけど、　　　　　　　　幽々子さんから幻想郷で “魔女” と言ったら魔法使いの女の人を意味する言葉だ、って聞いたの,なんとなく見えてきたわ……。　　　要するにアンタたちは “魔法使い” とは違う “魔女” と言う新しい存在――概念と言っても良いわね――を、　　　幻想郷に広めようと、そう思ったわけね？
なんとなく見えてきたわ……。　　　要するにアンタたちは “魔法使い” とは違う “魔女” と言う新しい存在――概念と言っても良いわね――を、　　　幻想郷に広めようと、そう思ったわけね？,そう、その他にも幽々子さんからスペルカードルールや貴女たち博麗の巫女についても教えてもらったの。　　　　　　　　私たち“魔女”の存在と、スペルカード、そして幻想郷の秩序を守る巫女、　　　　　　　　この三つを使えば簡単に、それでいて平和的に問題解決が出来るんじゃないか？　って……
そう、その他にも幽々子さんからスペルカードルールや貴女たち博麗の巫女についても教えてもらったの。　　　　　　　　私たち“魔女”の存在と、スペルカード、そして幻想郷の秩序を守る巫女、　　　　　　　　この三つを使えば簡単に、それでいて平和的に問題解決が出来るんじゃないか？　って……,“魔女”が事件を起こして幻想郷で噂になって、その事件を調査に出た私たちに“魔女”がどういった存在かを見せ付けて、　　　最終的に“幻想郷における規律”である私たち退治してもらう、って算段かしら？　　　確かに、これなら悪さをしても表向きは退治されて改心しました。って事に出来るわね……
“魔女”が事件を起こして幻想郷で噂になって、その事件を調査に出た私たちに“魔女”がどういった存在かを見せ付けて、　　　最終的に“幻想郷における規律”である私たち退治してもらう、って算段かしら？　　　確かに、これなら悪さをしても表向きは退治されて改心しました。って事に出来るわね……,また守矢か……
結果的に“魔法使い”の皆さんには迷惑をかけちゃったんだけど……。　　　　　　　　他に良い手段が思いつかなかったんです。　ごめんなさい！,それにしても最終的に退治されるなんて話によく“魔女”全員が納得したわね
もちろんみんなには退治されちゃうことはナイショにしたよ,あー、いい子ちゃんかと思ったけど、アンタも十分“魔女”だわ
あー、いい子ちゃんかと思ったけど、アンタも十分“魔女”だわ,で？　仮に誰もここまでたどり着けなかったり、貴女が私たちを倒してしまった場合はどうするつもりだったの？
ん～、そうしたら、巫女さんすら退けた悪の魔女軍団の大ボスとして君臨……とかダメかな？,事情は分かったけど、理解はし難いわね。　結局貴女は一度は痛い目を見るんじゃない……
だから、この場で私と戦って、お願いします！,……そんな話を聞いたら断れる訳ないでしょ
分かってるとは思うが、手抜きはいっさいナシだぜ,うん、それは当然だよ
さて、私らの準備はいいぜ、いつでも来な,アンタの目論見通り、“魔女”については良く分かったわ、今度はアンタについて教えてもらうわよ
いくよっ！　ファイアっ！,舞うように戦っている様が見える弾幕ね。　アンタ良い先輩もったじゃない……
どうしてそれを！？,マミさんのこと、二人には話していないのに……
さぁ、このスペルの真髄を見せてみな。その先輩の本気はこんな程度じゃないんだろう？,それじゃ、遠慮なくいくよ！
いいねぇ、そういうパワー一辺倒の弾幕は大好きだ！　霊夢っ！,分かってるわよ、手出ししないから好きになさい
分かってるわよ、手出ししないから好きになさい,いくよ！　これがマミさんの、私の憧れた先輩の必殺技！
――――っ！　そこっ！,未来位置を狙うとはいい勘してるわね！　でも、まだまだ甘いっ！
未来位置を狙うとはいい勘してるわね！　でも、まだまだ甘いっ！,剣術使いってそういう攻撃がなぜか好きよね。　その友達、妖夢辺りと相性ばっちりだったんじゃない？
まぁまぁ、落ち着いて,ふーん、アンタのこの友達、早苗と引き分けたんだ
ふーん、アンタのこの友達、早苗と引き分けたんだ,そっかそっか、最近調子に乗ってきた早苗がねぇ……これはいい話の種を見せてもらったわ
そっかそっか、最近調子に乗ってきた早苗がねぇ……これはいい話の種を見せてもらったわ,でも早苗がやられたんなら油断ならないわね。早めに決めさせてもらうわよ！
早苗さんって人のこと、随分と買ってるんですね,当たり前よ。　私は、認めた相手か客人にしかお茶を出さない主義なの
なら私は？,……今後の結果次第ね
……今後の結果次第ね,っ！？　一体何処に……
っ！？　一体何処に……,ここよ！
ここよ！,えっ？　ええっ！？
出た、霊夢の瞬間移動技、『幻想空想穴』……、やっぱアイツ相当人外だよなぁ……,失礼ね、私は歴とした人間よ。とりあえずスペルブレイクはスペルブレイクよ。次のスペルを出しなさい
よし！　今……っ！？,余所見は厳禁よ。　今のアンタの相手は私と魔理沙の二人いるんだからね！
それって“ツンデレ”の事？　うーん、そうなのかなぁ……,私も同意見ね。　まるで魔理沙に対するアリスを見てるみたい
……っ！,今度のは武器じゃないのね。細かすぎて厄介なのが嫌らしいわ
本当にそう思う？,っ！？
っ！？,時間操作！？　まったく、アンタの友達はなんつー技をもってるのよ！
あはは、ほむらちゃんはこっちに来る事はないと思うから、比べるのは無理かも……,おーい、そこ！　弾幕戦の途中に辛気臭い顔して考え込まない！　弾幕が止まってるわよ
おーい、そこ！　弾幕戦の途中に辛気臭い顔して考え込まない！　弾幕が止まってるわよ,あっ、ご、ゴメン。　それっ、もう一回！
ホント、こんなのを背負わせちゃったんだよね……,繰り返す度に弾幕が増えるとかイライラするわね！　アンタの友達、よく心が持ったわね。それだけは感心するわ！　　　ああ、もうっ！　使いたくなかったけど使うわ！　霊符、夢想封印っ！
繰り返す度に弾幕が増えるとかイライラするわね！　アンタの友達、よく心が持ったわね。それだけは感心するわ！　　　ああ、もうっ！　使いたくなかったけど使うわ！　霊符、夢想封印っ！,なーに、くよくよしてるんだよ
っ！？,信じられないかもだけど、安心しなさい、アンタの仲間は誰もアンタの事を恨んでなんか居ないわよ
で、でも……！,なに？　じゃあアンタは一度の過ちでそれまでの親交をひっくり返すような仲間だと思ってたの？
そ、そんな事ない！　そんな事は絶対ないよ……、でも……,なら、見せなさい
えっ？,互いに信頼し合ってる仲間に恨まれてるんじゃないかとアンタに思わせてる不安を、私たちに見せなさい
で、でも……,アンタ言ったでしょ、全部を魅せるって、こっちは最初から受け止める準備は出来てるの。全力でかかって来なさい。　　　じゃ無いと私はアンタを、アンタ達“魔女”を、一生認める事が出来ないわよ。　これまでの全員の努力、無駄にするつもり？
っ！？　コイツは……結構洒落にならないぜ！,魔理沙っ！　目をしっかり開きなさい！　後ろから来るわよ！
そんな、最初から全部視えてたって……、そ、そんな相手を、そんな相手だと分かって私たちを助けてくれたんですか！？,そんなの決まってるでしょ。　答えは一つしかないじゃない……
えっ？,ああ、ホントだぜ。　“救済の魔女”が聞いて呆れるな
えっ？,救われなかった一人、それはクリームヒルト……、いえ、鹿目まどか、他ならぬ貴女自身よ。　　　一人でそんな重い十字架を背負って、貴女は本当にそれで救われた、って言えるの？
それは……,幽々子は、アンタの背負ってるものが視えてしまった。視えてしまったからこそ助けようと思ったのよ。　　　一人で無茶して背負い込もうとする、子供な貴女をね……
幽々子は、アンタの背負ってるものが視えてしまった。視えてしまったからこそ助けようと思ったのよ。　　　一人で無茶して背負い込もうとする、子供な貴女をね……,クリームヒルトちゃん、私貴女に言ったわよね？　弾幕戦は自分の全てを出し切るモノだ。って……
うわっ？　騒がしいと思ったらみんな来てる……,アンタたち揃いも揃って何やってるのよ？　……門の前で立ち話もアレでしょうし、中に入ったらどう？
えっ？　宴会！？　どういうことですか！？,異変解決を祝しての単なる祝勝会よ。　ところでアンタ、酒はイケる口なの？
ちょっと本気出す,やめなさい
ちょっと本気出す,やめなさい
ちょっと本気出す,やめなさい
ちょっと本気出す,やめなさい
やってくれるかしら？　クリームヒルト・グレートヒェンさん？,霊夢さん、知ってます？　最近巷で話題になってるあの事件……
霊夢さん、知ってます？　最近巷で話題になってるあの事件……,“魔女騒動”ね……当然把握してるわ。私をなんだと思ってるの？　腐っても幻想郷の秩序を保つ博麗の巫女よ
自分で腐ってもとか言わないで下さい。　……で、霊夢さんはどう思います？,どう思う？　って聞かれてもねぇ……
それにしたって急すぎです！　びっくりして寿命が縮まるかと思いましたよ！,諦めなさい早苗、コイツはそーいうヤツよ
諦めなさい早苗、コイツはそーいうヤツよ,ん～、相変わらず手厳しいですね～
ん～、相変わらず手厳しいですね～,そんな事より……、調べてきたんでしょ？　幻想郷の“魔女”連中は何て？
そんな事より……、調べてきたんでしょ？　幻想郷の“魔女”連中は何て？,……はい、皆さん揃って否認してます
……っ,…………
同じく魔法の森在住、霧雨魔理沙さん……以上、四名です,事件発生以降、多くの人がこの四人に接触を図っていますが、今の所四人に大きな動きはありません
基本的にそれぞれの家に篭って、一人で居るようです,つまり、アリバイはない、って事ね……
う～ん、又聞きだけだと何とも言えないんですよねぇ……,そうね、直接本人に話を聞くぐらいはしてみようかと思ってるわ。　場合によってはその場で張っ倒すけど……
それはいくらなんでも短絡的過ぎますよ,あら？　じゃあアンタはやらないの？
う～ん………………、やるかも…………しれないです,アンタってヤツは……、まあ良いわ、私はとりあえず魔理沙の所に行くから、早苗と文はアリスか命蓮寺にでも行きなさい
あれ？　霊夢さん、紅魔館は行かなくて良いんですか？,そっちは大丈夫よ。　専門の犬（人材）が既に居るわ
そんなの、決まってるじゃない…………“魔女”に会いに行くのよ,部屋に篭ってる、と聞いて来てみれば……何やってるのよ？
部屋に篭ってる、と聞いて来てみれば……何やってるのよ？,見て分からないか？　地図でこれまでの事件現場を探してるんだ
見て分からないか？　地図でこれまでの事件現場を探してるんだ,アンタにしては随分と消極的じゃない、いつもならそんな事しないで現場に飛んでいくくせに……
流石に今回は容疑者だからな。下手に動いて御用になるのはゴメンだぜ。　それに……,それに？
今回ばかりは早く解決したいと思ってる。　この“魔女”がやってる事は、私たち“魔法使い”への明らかな挑戦だぜ？,……………
早苗の時の異変と同じさ、売られた喧嘩は買わなきゃなんねぇ、　　　そうじゃなきゃ“魔法使い”として、私が、私を許せなくなる,……協力はするけど、今回は裏方に回るわよ？
ああ、それでいいぜ、魔女が異変を起こすって言うなら、私はその魔女をぶっ飛ばす！,まぁ、アンタがそれで良いなら、別に構わないけど……、で？　目星はつきそうなの？
まぁ、アンタがそれで良いなら、別に構わないけど……、で？　目星はつきそうなの？,あー、それなんだがな、実は……
あー、それなんだがな、実は……,さっぱり分からん！
さっぱり分からん！,……………………………アンタねぇ
……………………………アンタねぇ,だって見てみろよこの地図、どっかに固まってるわけでもない、事件の内容もバラバラ、発生日時も同じくだ。　　　　これでどうやって特定しろって言うんだよ
だって見てみろよこの地図、どっかに固まってるわけでもない、事件の内容もバラバラ、発生日時も同じくだ。　　　　これでどうやって特定しろって言うんだよ,やってたのはアンタでしょ……
事件の内容で同じモノがあるって事は同一犯に違いないと思ったんだけどなぁ……,……ねぇ、魔理沙、私思ったんだけど、複数犯って事は考えられない？
何？,つまり、特定の妖怪一人による事件じゃなくて、事件の種類ごとに担当者が居る、集団犯罪だったとしたら？
それで？　仮に集団犯行だとしたらその奴らの目的は何なんだ？,それがちょっと読めないのよねぇ……やっている事は、人に軽い呪をかけるだけ、それも印さえ消せば消える軽度なもの。　　妖怪の仕業だとしたら遊びにもならない軽度な呪……単なる愉快犯か、或いは……
或いは……なんなんだよ？,いえ、忘れて頂戴、ちょっと引っかかっただけだから……
なんだよ？　気になるな……,だから、忘れてって言ってるでしょ？　それよりも行くわよ、魔理沙
だから、忘れてって言ってるでしょ？　それよりも行くわよ、魔理沙,おい、霊夢！　行くって、どこに行くんだよ？
おい、霊夢！　行くって、どこに行くんだよ？,決まってるじゃない、現場よ
………………,おい霊夢、どうしてこんな辺鄙な所に来たんだ？　ここは事件現場じゃないぞ
おい霊夢、どうしてこんな辺鄙な所に来たんだ？　ここは事件現場じゃないぞ,……事件の一つに畑荒らし、と言うか薔薇植え事件があったじゃない
ああ、あったな,気付いた？　荒らされた、若しくは荒らされかけた畑は、全部花畑だ、って事
！？　……言われてみれば確かにそうだな,なるほどな、要約合点がいったぜ。確かに此処は幻想郷の花畑で未だに狙われていない場所だ
でもよ霊夢、此処はいくらなんでも人通りが少なすぎるぜ。　　　　人を狙うのに、幻想郷界隈の事情を知ってるヤツなら、まず此処には来ないと思うぜ,それを含めて、確認に来たのよ
？　どういう意味…………おい、霊夢、あそこに誰か居るぜ,人……じゃあないわね
蝶の翅っぽいのが付いてるしな。　珍しいタイプの妖精かもな,そうである事を願いたいわね
そうである事を願いたいわね,そこのアンタ、ちょっと聞きたい事があるんだけど……
そこのアンタ、ちょっと聞きたい事があるんだけど……,何かしら？
っ！？,やっぱり、アンタが“魔女”ね
私は不信の象徴にして薔薇園の魔女、ゲルトルート。　　ねぇ貴女たち、私の素敵な薔薇園造り、手伝ってくれないかしら？,生憎、食べられない植物に興味はないわ、他をあたりなさい
残念だわ、薔薇はこんなにも綺麗なのに……,奇麗かもしれんが、元々生えてた植物と植え替えるのは感心しないぜ
奇麗かもしれんが、元々生えてた植物と植え替えるのは感心しないぜ,菜種農家と、幽香の所に突き出させてもらうわよ
こいつの相手は私がやる。　霊夢は下がってな！,最初からそのつもりよ、裏方に回るって言ったでしょ？　その代わり……
？,負けたら承知しないわよ
負けたら承知しないわよ,ああ、負けたらいくらでも賽銭払ってやるよ。　　　さぁて、魅せて貰おうじゃねぇか、“魔女”のお手並み拝見だぜ！
電波塔……、これが……,それで、ここがどうかしたのですか？　ここは事件現場ではないと聞いていますが？
おい霊夢、なんで冥界なんかに向かってるんだ？,端的に言えば勘よ。いくつか根拠もあるけどね……
ほう？どんなだ？,今回の事件は幻想郷の各地で起きてるわ。　　　紅魔館や迷いの竹林みたいに滅多に里の人が行かないような場所でもね……　　　でもある方角だけ、事件とは無縁の場所があったのよ
今回の事件は幻想郷の各地で起きてるわ。　　　紅魔館や迷いの竹林みたいに滅多に里の人が行かないような場所でもね……　　　でもある方角だけ、事件とは無縁の場所があったのよ,中有の道に三途の川、再思の道、無縁塚……、なるほど、冥界方面か……
中有の道に三途の川、再思の道、無縁塚……、なるほど、冥界方面か……,そうよ。それでピンと来たの。　アイツらの根拠地若しくは匿っている人物が冥界に居るんじゃないか、って……
そうよ。それでピンと来たの。　アイツらの根拠地若しくは匿っている人物が冥界に居るんじゃないか、って……,確かに。　自宅の前で盗みなんか働いた日には即バレるだろうな
確かに。　自宅の前で盗みなんか働いた日には即バレるだろうな,そして、冥界が怪しいとなると、いかにもこういう事が好きそうな人物が一人居るのよ
西行寺幽々子、白玉楼の主か……,しかし、幽々子が犯人ならそろそろ妖夢のヤツが出てきても良い気がするんだが……
